"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"2642",862173723,"04/12/2017",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.8313939,-73.935715955,"(40.8313939, -73.935715955)","2017","12","04"
"2643",713734877,"04/12/2017",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.756642042,-73.988371577,"(40.756642042, -73.988371577)","2017","12","04"
"2644",658887144,"04/12/2017",117,"DANGEROUS DRUGS",500,"CONTROLLED SUBSTANCE,POSSESS.","COMPLETED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.789457728,-73.941743979,"(40.789457728, -73.941743979)","2017","12","04"
"2645",612445609,"04/12/2017",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.796213706,-73.93378879,"(40.796213706, -73.93378879)","2017","12","04"
"2646",537753122,"04/12/2017",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","RESIDENCE - APT. HOUSE",NA,40.731305777,-74.003681757,"(40.731305777, -74.003681757)","2017","12","04"
"2647",487128373,"04/12/2017",233,"SEX CRIMES",175,"SEXUAL ABUSE 3,2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","BEAUTY & NAIL SALON",NA,NA,NA,NA,"2017","12","04"
"2648",337583073,"04/12/2017",121,"CRIMINAL MISCHIEF & RELATED OF",267,"MISCHIEF, CRIMINAL 3 & 2, OF M","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"STREET",NA,40.805065604,-73.939035658,"(40.805065604, -73.939035658)","2017","12","04"
"2649",887127311,"04/12/2017",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.808012927,-73.963903684,"(40.808012927, -73.963903684)","2017","12","04"
"2650",829433782,"04/12/2017",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.760336849,-73.993106885,"(40.760336849, -73.993106885)","2017","12","04"
"2651",341032673,"04/12/2017",113,"FORGERY",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","COMPLETED","FELONY","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.807780622,-73.945484727,"(40.807780622, -73.945484727)","2017","12","04"
"2652",459104230,"04/12/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESTAURANT/DINER",NA,40.752410109,-73.974303303,"(40.752410109, -73.974303303)","2017","12","04"
"2653",499531022,"04/12/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT",NA,"COMMERCIAL BUILDING",NA,40.777646786,-73.982370607,"(40.777646786, -73.982370607)","2017","12","04"
"2654",918501782,"04/12/2017",352,"CRIMINAL TRESPASS",205,"TRESPASS 2, CRIMINAL","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.814787465,-73.957501965,"(40.814787465, -73.957501965)","2017","12","04"
"2655",677047591,"04/12/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.754314887,-73.973963285,"(40.754314887, -73.973963285)","2017","12","04"
"2656",587269132,"04/12/2017",235,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","OPPOSITE OF","PARK/PLAYGROUND","MATTHEWS - PALMER PLAYGROUND",40.760962623,-73.992651992,"(40.760962623, -73.992651992)","2017","12","04"
"2657",140403366,"04/12/2017",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.838820881,-73.940435862,"(40.838820881, -73.940435862)","2017","12","04"
